scheme,bits,is128,nanos
shift,32,FALSE,0.4201386152453473
shift,64,FALSE,0.5143725871295828
shift,128,TRUE,1.1386017998349265
shift-strong,32,FALSE,0.50870603583695
shift-strong,64,TRUE,1.4112040389786735
mmp,30,FALSE,0.9398490707952821
mmp-triple,64,FALSE,4.282117601640086
mmp,60,TRUE,1.5923078356718763
mmp,64,FALSE,11.377832610026891
vector-shift,32,FALSE,10.61765725258926
vector-shift,64,FALSE,11.287351167496473
vector-shift,96,FALSE,12.318443743322984
vector-shift,128,FALSE,13.374417050507201
vector-shift,160,FALSE,14.669781675375246
vector-shift,192,FALSE,15.552109908542674
vector-shift,224,FALSE,16.65957086944367
vector-shift,256,FALSE,17.422809978966423
vector-shift,288,FALSE,18.630546053616893
vector-shift,320,FALSE,19.529355343295506
vector-shift,352,FALSE,20.77903606077247
vector-shift,384,FALSE,21.684157514277725
vector-shift,416,FALSE,22.651815428546705
vector-shift,448,FALSE,23.81151756593048
vector-shift,480,FALSE,25.29234636313714
vector-shift,512,FALSE,25.828729964321848
vector-shift,544,FALSE,26.98620968654521
vector-shift,576,FALSE,27.909403306973402
vector-shift,608,FALSE,28.90193942076641
vector-shift,640,FALSE,29.33629368301937
vector-shift,672,FALSE,30.044691780821918
vector-shift,704,FALSE,33.18504429962657
vector-shift,736,FALSE,32.437485456215555
vector-shift,768,FALSE,33.74734723220704
vector-shift,800,FALSE,36.37801714095524
vector-shift,832,FALSE,37.109785392869505
vector-shift,864,FALSE,38.54581506110712
vector-shift,896,FALSE,39.19715590345727
vector-shift,928,FALSE,43.41992278737574
vector-shift,960,FALSE,41.52506040938592
vector-shift,992,FALSE,48.08640940982253
vector-shift,1024,FALSE,43.15166684417936
vector-shift,1056,FALSE,45.14642723778144
vector-shift,1088,FALSE,46.325454339708045
vector-shift,1120,FALSE,47.3854811276794
vector-shift,1152,FALSE,48.52947160316319
vector-shift,1184,FALSE,49.07791502463054
vector-shift,1216,FALSE,50.33887315037308
vector-shift,1248,FALSE,54.27276609553479
vector-shift,1280,FALSE,53.66534016775396
vector-shift,1312,FALSE,54.218145469432315
vector-shift,1344,FALSE,56.18841067934023
vector-shift,1376,FALSE,62.15959066838414
vector-shift,1408,FALSE,62.49659197422378
vector-shift,1440,FALSE,63.27747191852628
vector-shift,1472,FALSE,62.98044396815677
vector-shift,1504,FALSE,66.12985609260129
vector-shift,1536,FALSE,66.32496564946477
vector-shift,1568,FALSE,68.04618395303326
vector-shift,1600,FALSE,68.92247794974205
vector-shift,1632,FALSE,68.62924970293668
vector-shift,1664,FALSE,69.5585894773278
vector-shift,1696,FALSE,71.1565831716352
