family,nanos
vector-shift,63.677453025138476
vector-shift,63.681516829995736
vector-shift,63.464022795057524
vector-shift,63.51736184490839
vector-shift,63.74863453344695
vector-shift,63.55650149126544
vector-shift,63.709370366425226
vector-shift,63.48589209629314
vector-shift,63.346417128248824
vector-shift,63.459821261184494
pair-shift,47.95119343843204
pair-shift,48.43303610992756
pair-shift,45.92470654026417
pair-shift,47.8113481039625
pair-shift,47.83906465700895
pair-shift,47.94645813804857
pair-shift,47.77821687260332
pair-shift,47.87446868342565
pair-shift,48.177103536429485
pair-shift,47.848364188325526
