func,dataset,n,secs,nspervalue
mod-prime,flatland-8,924,1.20892,6.04038
mod-prime,flatland-8,924,1.20808,6.03617
mod-prime,flatland-8,924,1.21243,6.05789
mod-prime,flatland-8,924,1.21258,6.05864
mod-prime,flatland-8,924,1.23133,6.15235
mod-prime,flatland-8,924,1.20916,6.04158
mod-prime,flatland-8,924,1.20365,6.01405
mod-prime,flatland-8,924,1.21026,6.04704
mod-prime,flatland-8,924,1.21075,6.04953
mod-prime,flatland-8,924,1.20854,6.03846
mod-prime,flatland-32,3694,1.19737,5.98597
mod-prime,flatland-32,3694,1.22979,6.14804
mod-prime,flatland-32,3694,1.21010,6.04959
mod-prime,flatland-32,3694,1.20922,6.04519
mod-prime,flatland-32,3694,1.19706,5.98440
mod-prime,flatland-32,3694,1.20412,6.01968
mod-prime,flatland-32,3694,1.21130,6.05560
mod-prime,flatland-32,3694,1.21473,6.07276
mod-prime,flatland-32,3694,1.19609,5.97956
mod-prime,flatland-32,3694,1.22965,6.14733
shift-v1,flatland-8,13851,1.35932,0.45308
shift-v1,flatland-8,13851,1.27605,0.42533
shift-v1,flatland-8,13851,1.34538,0.44844
shift-v1,flatland-8,13851,1.33348,0.44447
shift-v1,flatland-8,13851,1.33599,0.44531
shift-v1,flatland-8,13851,1.33376,0.44456
shift-v1,flatland-8,13851,1.34193,0.44729
shift-v1,flatland-8,13851,1.35206,0.45066
shift-v1,flatland-8,13851,1.33941,0.44645
shift-v1,flatland-8,13851,1.34785,0.44926
shift-v1,flatland-32,55402,1.33315,0.44438
shift-v1,flatland-32,55402,1.32816,0.44272
shift-v1,flatland-32,55402,1.31736,0.43912
shift-v1,flatland-32,55402,1.32798,0.44266
shift-v1,flatland-32,55402,1.30314,0.43438
shift-v1,flatland-32,55402,1.30276,0.43425
shift-v1,flatland-32,55402,1.29920,0.43306
shift-v1,flatland-32,55402,1.31107,0.43702
shift-v1,flatland-32,55402,1.31151,0.43717
shift-v1,flatland-32,55402,1.29641,0.43213
siphash-24,flatland-8,462,1.07789,10.77134
siphash-24,flatland-8,462,1.07494,10.74188
siphash-24,flatland-8,462,1.09476,10.93993
siphash-24,flatland-8,462,1.07201,10.71255
siphash-24,flatland-8,462,1.07057,10.69819
siphash-24,flatland-8,462,1.07187,10.71120
siphash-24,flatland-8,462,1.08679,10.86028
siphash-24,flatland-8,462,1.08323,10.82470
siphash-24,flatland-8,462,1.07309,10.72342
siphash-24,flatland-8,462,1.06066,10.59918
siphash-24,flatland-32,1847,1.06404,10.63881
siphash-24,flatland-32,1847,1.06733,10.67171
siphash-24,flatland-32,1847,1.07253,10.72373
siphash-24,flatland-32,1847,1.07434,10.74180
siphash-24,flatland-32,1847,1.08452,10.84356
siphash-24,flatland-32,1847,1.07901,10.78852
siphash-24,flatland-32,1847,1.06310,10.62945
siphash-24,flatland-32,1847,1.06574,10.65579
siphash-24,flatland-32,1847,1.06881,10.68652
siphash-24,flatland-32,1847,1.08375,10.83582
